"","distrito","subdistrito","Nh","prop_alfabetizada","var_alfabetizada","Wh","nh"
"1","Cachoeiros De Macaé","Sem informação",1319,0.76497346474602,0.179925473498684,0.00638036453697612,8
"2","Córrego Do Ouro","Sem informação",3992,0.789328657314629,0.166330594036984,0.0193103982044039,23
"3","Frade","Sem informação",1390,0.848920863309353,0.12834656680703,0.00672381099802639,8
"4","Glicério","Sem informação",2797,0.836968180193064,0.13650124827183,0.0135298556557409,16
"5","Macaé","Aeroporto",37760,0.880005296610169,0.105598771125842,0.182655469989551,219
"6","Macaé","Barra De Macaé",32362,0.838761510413448,0.135244818186625,0.156543864401532,188
"7","Macaé","Cabiúnas",23952,0.842184368737475,0.132915407032176,0.115862389226423,139
"8","Macaé","Centro",79381,0.892757712802812,0.0957425851485304,0.383987655276499,461
"9","Macaé","Imboassica",20132,0.901053049870852,0.0891608800031165,0.0973840021670988,117
"10","Macaé","Nova Cidade",2095,0.829594272076372,0.14143512661474,0.0101340892380326,12
"11","Sana","Sem informação",1548,0.845607235142119,0.130640031802822,0.00748810030571572,9
